"url","Search link","Search link_link","Snp value","Snp value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Skills values","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsHyderabad CTS is looking for Developers/Sr. Developers for Java Location: Hyderabad Experience: 4 to 9 Years Responsibilities: Good understanding on data structures and algorithms. Responsible for completing specific, detailed steps of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676386/","Developer-Sr.Developer","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676386/","4 to 9 Yrs","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676386/","Hyderabad","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676386/","CTS is looking for Developers/Sr. Developers for Java Location: Hyderabad Experience: 4 to 9 Years Responsibilities: Good understanding on data structures and algorithms. Responsible for completing specific, detailed steps of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676386/","Skills :","Core Java,; Hibernate,; Java,; Rest Web services,; spring","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Storage Admin- HitachiTata Consultancy Services Ltd.3 to 8 YrsChennai Skill : Storage Admin Exp Range : 3 to 8 Years Joining Location : Chennai Mail id : Rangabashyam.k@tcs.com Exclude the companies : CMC Limited, TCS, Tata Consultancy Services Limited.","https://www.shine.com/jobs/storage-admin-hitachi/tata-consultancy-services-ltd/6545071/","Storage Admin- Hitachi","https://www.shine.com/jobs/storage-admin-hitachi/tata-consultancy-services-ltd/6545071/","3 to 8 Yrs","https://www.shine.com/jobs/storage-admin-hitachi/tata-consultancy-services-ltd/6545071/","Chennai","https://www.shine.com/jobs/storage-admin-hitachi/tata-consultancy-services-ltd/6545071/","Skill : Storage Admin Exp Range : 3 to 8 Years Joining Location : Chennai Mail id : Rangabashyam.k@tcs.com Exclude the companies : CMC Limited, TCS, Tata Consultancy Services Limited.","https://www.shine.com/jobs/storage-admin-hitachi/tata-consultancy-services-ltd/6545071/","Skills :","DNS,; hitachi,; ITIL V3,; netapp,; Raid Configuration","Apply","Posted Date 19-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","SR. AR. Executive (MANDATE- CA, CA INTER, ICWA, ICWA INTE...Infinite Computer Solutions4 to 6 YrsBangalore Good knowledge of Accounting Exposure to Accounts receivable function Exposure to Quarter end closing Validating and posting entries in the Accounting system Preparation of Aging Report Knowledge on Income.","https://www.shine.com/jobs/sr-ar-executive-mandate-ca-ca-inter-icwa-icwa-intern/infinite-computer-solutions/6527124/","SR. AR. Executive (MANDATE- CA, CA INTER, ICWA, ICWA INTE...","https://www.shine.com/jobs/sr-ar-executive-mandate-ca-ca-inter-icwa-icwa-intern/infinite-computer-solutions/6527124/","4 to 6 Yrs","https://www.shine.com/jobs/sr-ar-executive-mandate-ca-ca-inter-icwa-icwa-intern/infinite-computer-solutions/6527124/","Bangalore","https://www.shine.com/jobs/sr-ar-executive-mandate-ca-ca-inter-icwa-icwa-intern/infinite-computer-solutions/6527124/","Good knowledge of Accounting Exposure to Accounts receivable function Exposure to Quarter end closing Validating and posting entries in the Accounting system Preparation of Aging Report Knowledge on Income.","https://www.shine.com/jobs/sr-ar-executive-mandate-ca-ca-inter-icwa-icwa-intern/infinite-computer-solutions/6527124/","Skills :","Accounting,; Accounts Receivable,; Aging Report,; MS Axapta","Apply","Posted Date 16-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","TCS Delhi Hiring SAP WM EWM Professionals_17 Dec 2016_No...Tata Consultancy Services Ltd.4 to 9 YrsNoida, Gurgaon, Delhi Greetings!! TCS, India's premier IT organisation is inviting applications from IT professionals in the area of SAP WM in Delhi NCR Pls find below Interviews details and confirm. Name -.","https://www.shine.com/jobs/tcs-delhi-hiring-sap-wm-ewm-professionals_17-dec-2016_noida/tata-consultancy-services-ltd/6524959/","TCS Delhi Hiring SAP WM EWM Professionals_17 Dec 2016_No...","https://www.shine.com/jobs/tcs-delhi-hiring-sap-wm-ewm-professionals_17-dec-2016_noida/tata-consultancy-services-ltd/6524959/","4 to 9 Yrs","https://www.shine.com/jobs/tcs-delhi-hiring-sap-wm-ewm-professionals_17-dec-2016_noida/tata-consultancy-services-ltd/6524959/","Noida, Gurgaon, Delhi","https://www.shine.com/jobs/tcs-delhi-hiring-sap-wm-ewm-professionals_17-dec-2016_noida/tata-consultancy-services-ltd/6524959/","Greetings!! TCS, India's premier IT organisation is inviting applications from IT professionals in the area of SAP WM in Delhi NCR Pls find below Interviews details and confirm. Name -.","https://www.shine.com/jobs/tcs-delhi-hiring-sap-wm-ewm-professionals_17-dec-2016_noida/tata-consultancy-services-ltd/6524959/","Skills :","(EWM,; SAP,; Warehouse Management),; WM","Apply","Posted Date 16-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","TCS Delhi Hiring SAP FICO Professionals_17 Dec 2016_Satur...Tata Consultancy Services Ltd.4 to 9 YrsNoida, Gurgaon, Delhi Greetings!! TCS, India's premier IT organisation is inviting applications from IT professionals in the area of SAP FICO in Delhi NCR Pls find below Interviews details and confirm. Name -.","https://www.shine.com/jobs/tcs-delhi-hiring-sap-fico-professionals_17-dec-2016_saturday_noida/tata-consultancy-services-ltd/6525011/","TCS Delhi Hiring SAP FICO Professionals_17 Dec 2016_Satur...","https://www.shine.com/jobs/tcs-delhi-hiring-sap-fico-professionals_17-dec-2016_saturday_noida/tata-consultancy-services-ltd/6525011/","4 to 9 Yrs","https://www.shine.com/jobs/tcs-delhi-hiring-sap-fico-professionals_17-dec-2016_saturday_noida/tata-consultancy-services-ltd/6525011/","Noida, Gurgaon, Delhi","https://www.shine.com/jobs/tcs-delhi-hiring-sap-fico-professionals_17-dec-2016_saturday_noida/tata-consultancy-services-ltd/6525011/","Greetings!! TCS, India's premier IT organisation is inviting applications from IT professionals in the area of SAP FICO in Delhi NCR Pls find below Interviews details and confirm. Name -.","https://www.shine.com/jobs/tcs-delhi-hiring-sap-fico-professionals_17-dec-2016_saturday_noida/tata-consultancy-services-ltd/6525011/","Skills :","(COPA,; (FI,; (General ledger,; AP,; AR)","Apply","Posted Date 16-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Agency Portal Developer, Chennai / Hyderabad / Pune/ Kolk...Cognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsChennai, Hyderabad, Kolkata, Pune Hands-on Agency Port developer to work on Agency Portal implementation Experience in Java, JavaScript, JQuery, AJAX, XML, XSLT, XSD, XPATH, JSP, HTML, CSS, JAX-WS (SOAP) Experience in one of the.","https://www.shine.com/jobs/agency-portal-developer-chennai-hyderabad-pune-kolkata/cognizant-technology-solutions-india-pvt-ltd/6523832/","Agency Portal Developer, Chennai / Hyderabad / Pune/ Kolk...","https://www.shine.com/jobs/agency-portal-developer-chennai-hyderabad-pune-kolkata/cognizant-technology-solutions-india-pvt-ltd/6523832/","4 to 9 Yrs","https://www.shine.com/jobs/agency-portal-developer-chennai-hyderabad-pune-kolkata/cognizant-technology-solutions-india-pvt-ltd/6523832/","Chennai, Hyderabad, Kolkata, Pune","https://www.shine.com/jobs/agency-portal-developer-chennai-hyderabad-pune-kolkata/cognizant-technology-solutions-india-pvt-ltd/6523832/","Hands-on Agency Port developer to work on Agency Portal implementation Experience in Java, JavaScript, JQuery, AJAX, XML, XSLT, XSD, XPATH, JSP, HTML, CSS, JAX-WS (SOAP) Experience in one of the.","https://www.shine.com/jobs/agency-portal-developer-chennai-hyderabad-pune-kolkata/cognizant-technology-solutions-india-pvt-ltd/6523832/","Skills :","AJAX,; CSS,; Java,; JavaScript,; JAX-WS (SOAP)","Apply","Posted Date 15-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Guidewire Developer, Chennai / Kolkata / KochiCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsKochi, Chennai, Kolkata Experience in Guide wire 1years, Java, J2EE 3 + years, Gosu Hands on experience GW Integration/Configuration development Strong technical knowledge in Core Java Minimum 2 years of experience in Guidewire.","https://www.shine.com/jobs/guidewire-developer-chennai-kolkata-kochi/cognizant-technology-solutions-india-pvt-ltd/6523822/","Guidewire Developer, Chennai / Kolkata / Kochi","https://www.shine.com/jobs/guidewire-developer-chennai-kolkata-kochi/cognizant-technology-solutions-india-pvt-ltd/6523822/","4 to 9 Yrs","https://www.shine.com/jobs/guidewire-developer-chennai-kolkata-kochi/cognizant-technology-solutions-india-pvt-ltd/6523822/","Kochi, Chennai, Kolkata","https://www.shine.com/jobs/guidewire-developer-chennai-kolkata-kochi/cognizant-technology-solutions-india-pvt-ltd/6523822/","Experience in Guide wire 1years, Java, J2EE 3 + years, Gosu Hands on experience GW Integration/Configuration development Strong technical knowledge in Core Java Minimum 2 years of experience in Guidewire.","https://www.shine.com/jobs/guidewire-developer-chennai-kolkata-kochi/cognizant-technology-solutions-india-pvt-ltd/6523822/","Skills :","Guidewire,; J2EE,; Java","Apply","Posted Date 15-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Avaya-Voice SMETata Consultancy Services Ltd.4 to 6 YrsChennai Role: Avaya- Voice SME Experience: 5 to 6 Years Location: Chennai Job Description: AVAYA CM management Gateway management Session Manager and System manager configuration Trunk management SBC maintenance SIP configuration.","https://www.shine.com/jobs/avaya-voice-sme/tata-consultancy-services-ltd/6524913/","Avaya-Voice SME","https://www.shine.com/jobs/avaya-voice-sme/tata-consultancy-services-ltd/6524913/","4 to 6 Yrs","https://www.shine.com/jobs/avaya-voice-sme/tata-consultancy-services-ltd/6524913/","Chennai","https://www.shine.com/jobs/avaya-voice-sme/tata-consultancy-services-ltd/6524913/","Role: Avaya- Voice SME Experience: 5 to 6 Years Location: Chennai Job Description: AVAYA CM management Gateway management Session Manager and System manager configuration Trunk management SBC maintenance SIP configuration.","https://www.shine.com/jobs/avaya-voice-sme/tata-consultancy-services-ltd/6524913/","Skills :","Avaya,; CM,; Contact Center Management,; IVR,; SIP","Apply","Posted Date 15-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Network/System AdminCollabera Technologies Private Limited,2 to 4 YrsChennai Operate 24x7, 365 days a year. Work varying scheduled roles in support of 24x7 Operations Work within established practices and standard operating procedures to triage internal/external customer emails, Service.","https://www.shine.com/jobs/networksystem-admin/collabera-technologies-private-limited/6519315/","Network/System Admin","https://www.shine.com/jobs/networksystem-admin/collabera-technologies-private-limited/6519315/","2 to 4 Yrs","https://www.shine.com/jobs/networksystem-admin/collabera-technologies-private-limited/6519315/","Chennai","https://www.shine.com/jobs/networksystem-admin/collabera-technologies-private-limited/6519315/","Operate 24x7, 365 days a year. Work varying scheduled roles in support of 24x7 Operations Work within established practices and standard operating procedures to triage internal/external customer emails, Service.","https://www.shine.com/jobs/networksystem-admin/collabera-technologies-private-limited/6519315/","Skills :","CCNA/CCNP,; Customer Support,; Linux,; Networking","Apply","Posted Date 14-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-5","Data AnalystCollabera Technologies Private Limited,2 to 4 YrsPune Experience in SFDC and CRM tool Experience in order to cash or customer data service processing, Data management, customer data management, service entitlement. Primary skill: data management, data analysis..","https://www.shine.com/jobs/data-analyst/collabera-technologies-private-limited/6519327/","Data Analyst","https://www.shine.com/jobs/data-analyst/collabera-technologies-private-limited/6519327/","2 to 4 Yrs","https://www.shine.com/jobs/data-analyst/collabera-technologies-private-limited/6519327/","Pune","https://www.shine.com/jobs/data-analyst/collabera-technologies-private-limited/6519327/","Experience in SFDC and CRM tool Experience in order to cash or customer data service processing, Data management, customer data management, service entitlement. Primary skill: data management, data analysis..","https://www.shine.com/jobs/data-analyst/collabera-technologies-private-limited/6519327/","Skills :","24/7 Support,; CRM,; data analysis,; data management,; SFDC","Apply","Posted Date 14-Dec-2016"
