"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Cmpname value","Cmpname value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Java DeveloperTata Consultancy Services Ltd.6 to 8 YrsBangalore Role:: Java Developer Loccation:: Bangalore "" Experience in Java Development with relevant of 6 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","Java Developer","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","6 to 8 Yrs","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","Bangalore","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","Role:: Java Developer Loccation:: Bangalore "" Experience in Java Development with relevant of 6 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590641/","Skills :","Apply","Posted Date 01-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Java Production SupportTata Consultancy Services Ltd.4 to 6 YrsBangalore "" Experience in Java Development with relevant of4 Yrs. Experience in production environment Java, J2EE (Servlets, JSP, JSF, Spring, SQL, PL/SQL) Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/","Java Production Support","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/","4 to 6 Yrs","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/","Bangalore","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/",""" Experience in Java Development with relevant of4 Yrs. Experience in production environment Java, J2EE (Servlets, JSP, JSF, Spring, SQL, PL/SQL) Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-production-support/tata-consultancy-services-ltd/6590643/","Skills :","Apply","Posted Date 01-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Ember JS Developer/Sr. DeveloperTata Consultancy Services Ltd.4 to 8 YrsBangalore "" Experience in Java Development with relevant of 4 Yrs. Experience in J2EE Spring, Hibernate, Servlets, JSP, JSF Experience in Ember JS. "".","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/","Ember JS Developer/Sr. Developer","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/","4 to 8 Yrs","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/","Bangalore","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/",""" Experience in Java Development with relevant of 4 Yrs. Experience in J2EE Spring, Hibernate, Servlets, JSP, JSF Experience in Ember JS. "".","https://www.shine.com/jobs/ember-js-developersr-developer/tata-consultancy-services-ltd/6590645/","Skills :","Apply","Posted Date 01-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Core Java DeveloperTata Consultancy Services Ltd.4 to 7 YrsBangalore "" 4+ years of development experience with minimum bachelors degree in computer science or related stream General Payments knowledge is highly desirable Knowledge of version control, sonar Java, Spring Integration,.","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/","Core Java Developer","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/","4 to 7 Yrs","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/","Bangalore","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/",""" 4+ years of development experience with minimum bachelors degree in computer science or related stream General Payments knowledge is highly desirable Knowledge of version control, sonar Java, Spring Integration,.","https://www.shine.com/jobs/core-java-developer/tata-consultancy-services-ltd/6590647/","Skills :","Apply","Posted Date 01-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Angular Js DeveloperTata Consultancy Services Ltd.4 to 6 YrsBangalore "" 4+ years of development experience with minimum bachelors degree in computer science or related stream General Payments knowledge is highly desirable Knowledge of version control, sonar Java, Restful Service,.","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/","Angular Js Developer","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/","4 to 6 Yrs","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/","Bangalore","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/",""" 4+ years of development experience with minimum bachelors degree in computer science or related stream General Payments knowledge is highly desirable Knowledge of version control, sonar Java, Restful Service,.","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6590649/","Skills :","Apply","Posted Date 01-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Software Engineer- FreshersManpower Global0 to 1 YrNoida, Ghaziabad, Delhi Job Description The software engineer will work in product design and development team to support various products testing features development using Microsoft technologies ( .Net , C# , SQL server).","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","Software Engineer- Freshers","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","Manpower Global","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","0 to 1 Yr","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","Noida, Ghaziabad, Delhi","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","Job Description The software engineer will work in product design and development team to support various products testing features development using Microsoft technologies ( .Net , C# , SQL server).","https://www.shine.com/jobs/software-engineer-freshers/manpower-global/5108432/","Skills :","Apply","Posted Date 30-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-4","senior software engineerCollabera Technologies Private Limited,5 to 8 YrsGurgaon Experience between 5-8 years Proven working experience in Java (1.7 and higher) Develop solutions using core java, J2EE, JSON, SOA and other web technologies Object Oriented analysis and design using.","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","senior software engineer","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","5 to 8 Yrs","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","Gurgaon","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","Experience between 5-8 years Proven working experience in Java (1.7 and higher) Develop solutions using core java, J2EE, JSON, SOA and other web technologies Object Oriented analysis and design using.","https://www.shine.com/jobs/senior-software-engineer/collabera-technologies-private-limited/6586683/","Skills :","Apply","Posted Date 30-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Dotnet DeveloperCollabera Technologies Private Limited,3 to 5 YrsGurgaon .Net, MVC, SQL Server (Must have) Good communication skills (Good to have).","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/","Dotnet Developer","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/","3 to 5 Yrs","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/","Gurgaon","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/",".Net, MVC, SQL Server (Must have) Good communication skills (Good to have).","https://www.shine.com/jobs/dotnet-developer/collabera-technologies-private-limited/6587767/","Skills :","Apply","Posted Date 30-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-4","Java DeveloperCollabera Technologies Private Limited,6 to 8 YrsGurgaon Experience between 6-8 years Proven working experience in Java (1.7 and higher) Develop solutions using core java, J2EE, JSON, SOA and other web technologies Object Oriented analysis and design.","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","Java Developer","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","6 to 8 Yrs","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","Gurgaon","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","Experience between 6-8 years Proven working experience in Java (1.7 and higher) Develop solutions using core java, J2EE, JSON, SOA and other web technologies Object Oriented analysis and design.","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6587881/","Skills :","Apply","Posted Date 30-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-4","SAP SuccessFactors CompensationTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Dear Candidate, SAP SuccessFactors- Compensation Have immediate need for Successfactors Implementation Consultant, who has Implemented Compensation Management. Consultant has to work closely with customers and play a lead role Key.","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","SAP SuccessFactors Compensation","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","3 to 8 Yrs","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","Dear Candidate, SAP SuccessFactors- Compensation Have immediate need for Successfactors Implementation Consultant, who has Implemented Compensation Management. Consultant has to work closely with customers and play a lead role Key.","https://www.shine.com/jobs/sap-successfactors-compensation/tata-consultancy-services-ltd/6561658/","Skills :","Apply","Posted Date 24-Dec-2016"
