"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Yoe value","Yoe value_link","Srcresult description","Srcresult description_link","Skills label","Apply label"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Hiring For FilenetTata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane Hand on experience in 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/hiring-for-filenet/tata-consultancy-services-ltd/6492450/","Hiring For Filenet","https://www.shine.com/jobs/hiring-for-filenet/tata-consultancy-services-ltd/6492450/","2 to 4 Yrs","https://www.shine.com/jobs/hiring-for-filenet/tata-consultancy-services-ltd/6492450/","Hand on experience in 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/hiring-for-filenet/tata-consultancy-services-ltd/6492450/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Oracle SOATata Consultancy Services Ltd.3 to 8 YrsMumbai / Navi Mumbai / Thane Experience in extensive production environment creation for Weblogic and SOA with High Availability.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/oracle-soa/tata-consultancy-services-ltd/6492430/","Oracle SOA","https://www.shine.com/jobs/oracle-soa/tata-consultancy-services-ltd/6492430/","3 to 8 Yrs","https://www.shine.com/jobs/oracle-soa/tata-consultancy-services-ltd/6492430/","Experience in extensive production environment creation for Weblogic and SOA with High Availability.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/oracle-soa/tata-consultancy-services-ltd/6492430/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","WebMethods DeveloperTata Consultancy Services Ltd.3 to 8 YrsMumbai / Navi Mumbai / Thane Working experience in webMethods Integration Suite 9.x .Working experience on Designer, Integration Server, Broker, My WebMethods Server.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/webmethods-developer/tata-consultancy-services-ltd/6492422/","WebMethods Developer","https://www.shine.com/jobs/webmethods-developer/tata-consultancy-services-ltd/6492422/","3 to 8 Yrs","https://www.shine.com/jobs/webmethods-developer/tata-consultancy-services-ltd/6492422/","Working experience in webMethods Integration Suite 9.x .Working experience on Designer, Integration Server, Broker, My WebMethods Server.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/webmethods-developer/tata-consultancy-services-ltd/6492422/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","RCM DeveloperTata Consultancy Services Ltd.2 to 6 YrsMumbai / Navi Mumbai / Thane Experience in Release and Configuration Management. Knowledge of SCM process and tools.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/rcm-developer/tata-consultancy-services-ltd/6492394/","RCM Developer","https://www.shine.com/jobs/rcm-developer/tata-consultancy-services-ltd/6492394/","2 to 6 Yrs","https://www.shine.com/jobs/rcm-developer/tata-consultancy-services-ltd/6492394/","Experience in Release and Configuration Management. Knowledge of SCM process and tools.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/rcm-developer/tata-consultancy-services-ltd/6492394/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Tibco DeveloperTata Consultancy Services Ltd.2 to 6 YrsMumbai / Navi Mumbai / Thane Experience in apply workflow concepts of Tibco such as BPM, BPMN, BPML and BPEL for workflows.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/tibco-developer/tata-consultancy-services-ltd/6492276/","Tibco Developer","https://www.shine.com/jobs/tibco-developer/tata-consultancy-services-ltd/6492276/","2 to 6 Yrs","https://www.shine.com/jobs/tibco-developer/tata-consultancy-services-ltd/6492276/","Experience in apply workflow concepts of Tibco such as BPM, BPMN, BPML and BPEL for workflows.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/tibco-developer/tata-consultancy-services-ltd/6492276/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Veritas ClusteringTata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane Hands on Exp. in VCS and VxVM installation,Configuring VxVM volume (VERITAS Volume Manager)15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/veritas-clustering/tata-consultancy-services-ltd/6492262/","Veritas Clustering","https://www.shine.com/jobs/veritas-clustering/tata-consultancy-services-ltd/6492262/","2 to 4 Yrs","https://www.shine.com/jobs/veritas-clustering/tata-consultancy-services-ltd/6492262/","Hands on Exp. in VCS and VxVM installation,Configuring VxVM volume (VERITAS Volume Manager)15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/veritas-clustering/tata-consultancy-services-ltd/6492262/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Middleware (Weblogic)Tata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane Hands on exp. incident/problem analysis and resolution, RCA preparation, code deployment Cassandra DBA responsible for the design, implementation, maintenance and repair of database.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/middleware-weblogic/tata-consultancy-services-ltd/6492246/","Middleware (Weblogic)","https://www.shine.com/jobs/middleware-weblogic/tata-consultancy-services-ltd/6492246/","2 to 4 Yrs","https://www.shine.com/jobs/middleware-weblogic/tata-consultancy-services-ltd/6492246/","Hands on exp. incident/problem analysis and resolution, RCA preparation, code deployment Cassandra DBA responsible for the design, implementation, maintenance and repair of database.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/middleware-weblogic/tata-consultancy-services-ltd/6492246/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Middleware (Websphere)Tata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane ands on exp. incident/problem analysis and resolution, RCA preparation, code deployment.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/middleware-websphere/tata-consultancy-services-ltd/6492256/","Middleware (Websphere)","https://www.shine.com/jobs/middleware-websphere/tata-consultancy-services-ltd/6492256/","2 to 4 Yrs","https://www.shine.com/jobs/middleware-websphere/tata-consultancy-services-ltd/6492256/","ands on exp. incident/problem analysis and resolution, RCA preparation, code deployment.15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/middleware-websphere/tata-consultancy-services-ltd/6492256/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","Cassandra DBATata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane Cassandra DBA responsible for the design, implementation, maintenance and repair of database. 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/cassandra-dba/tata-consultancy-services-ltd/6492242/","Cassandra DBA","https://www.shine.com/jobs/cassandra-dba/tata-consultancy-services-ltd/6492242/","2 to 4 Yrs","https://www.shine.com/jobs/cassandra-dba/tata-consultancy-services-ltd/6492242/","Cassandra DBA responsible for the design, implementation, maintenance and repair of database. 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/cassandra-dba/tata-consultancy-services-ltd/6492242/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-10","MS SQL DBATata Consultancy Services Ltd.2 to 4 YrsMumbai / Navi Mumbai / Thane MY SQL DBA responsible for the design, implementation, maintenance and repair of database. 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/ms-sql-dba/tata-consultancy-services-ltd/6492220/","MS SQL DBA","https://www.shine.com/jobs/ms-sql-dba/tata-consultancy-services-ltd/6492220/","2 to 4 Yrs","https://www.shine.com/jobs/ms-sql-dba/tata-consultancy-services-ltd/6492220/","MY SQL DBA responsible for the design, implementation, maintenance and repair of database. 15-Dec-16 is last date for receiving the CVs.","https://www.shine.com/jobs/ms-sql-dba/tata-consultancy-services-ltd/6492220/","Skills :","Apply"
