"url","Value","Search links","Search links_link","Search image","Search image_alt","Search image_link","Skills label","Skl value 1","Skl value 2","Skl value 3","Skl value 4","Skl value 5","Srcresult value 1","Srcresult value 2","Srcresult value 3","Srcresult description","Applyfromjsrp value","Sharelinks value"
"https://www.shine.com/job-search/it-software-industry-jobs","","ASP.Net DeveloperCollabera Technologies Private Limited,4 to 7 YrsBangalore In this role you will. Analyze user requirements and create, assimilate and convey technical specifications in a concise and effective manner Code & deliver the work product, with a first.","https://www.shine.com/jobs/aspnet-developer/collabera-technologies-private-limited/6716995/","","","","Skills :","(SQL Server,","(T SQL,","ASP.NET,","C#,","LINQ","","","","","Apply","Posted Date 01-Feb-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Software Engineer- Fresher-DELHI NCRManpower Global0 to 1 YrNoida, Ghaziabad, Delhi Job Description Looking for Software Developer having an excellent knowledge in My SQL & Android Software Knowledge will be an added advantage JOB Description: - Database design, programming, implementation and.","https://www.shine.com/jobs/software-engineer-fresher-delhi-ncr/manpower-global/6600061/","","","","Skills :",".net,","java,","software engineer,","testing","","","","","","Apply","Posted Date 01-Feb-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","ADFS AdministratorTata Consultancy Services Ltd.3 to 6 YrsHyderabad Dear Candidate, Greetings from Tata Consultancy Services I am Sheshma Client servicing agent for TCS Hyderabad . Currently we have a huge requirement for ADFS Administrator resources. In case you.","https://www.shine.com/jobs/adfs-administrator/tata-consultancy-services-ltd/6717141/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","ADFS","","","","","","","","","Apply","Posted Date 01-Feb-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Assembler Sr. DeveloperTata Consultancy Services Ltd.4 to 6 YrsHyderabad Dear Candidate, Greetings from Tata Consultancy Services I am Sheshma Client servicing agent for TCS Hyderabad . Currently we have a huge requirement for Assembler resources. In case you are.","https://www.shine.com/jobs/assembler-sr-developer/tata-consultancy-services-ltd/6717189/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","Assembler,","COBOL,","JCL","","","","","","","Apply","Posted Date 01-Feb-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Angular JS DeveloperTata Consultancy Services Ltd.3 to 7 YrsHyderabad Dear Candidate, Greetings from Tata Consultancy Services I am Sheshma Client servicing agent for TCS Hyderabad . Currently we have a huge requirement for Angular JS Developer resources. In case.","https://www.shine.com/jobs/angular-js-developer/tata-consultancy-services-ltd/6717209/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","angular js,","Angular.js,","angularJS","","","","","","","Apply","Posted Date 01-Feb-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","R ProgrammerTata Consultancy Services Ltd.3 to 8 YrsHyderabad Dear Candidate, Greetings from Tata Consultancy Services I am Sheshma Client servicing agent for TCS Hyderabad . Currently we have a huge requirement for Data Scientist(R Programming) resources. In case.","https://www.shine.com/jobs/r-programmer/tata-consultancy-services-ltd/6710111/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","Analyst,","Data analyst,","Data scientist,","R developer,","R development","","","","","Apply","Posted Date 31-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Lead - Unit Communications(Mass communications in corpora...Tata Consultancy Services Ltd.10 to 15 YrsHyderabad Dear Candidate, Greetings from Tata Consultancy Services I am Sheshma Client servicing agent for TCS Hyderabad . Currently we have a huge requirement for Unit Communications Lead resources. In case.","https://www.shine.com/jobs/lead-unit-communicationsmass-communications-in-corporate-environment/tata-consultancy-services-ltd/6712773/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","business proposals,","external communication,","internal communication,","Marketing communication,","Mass communication","","","","","Apply","Posted Date 31-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","Walk-in","Network L1 - Walkin @ Bangalore (04 Feb 17 -Saturday)CSS Corp.1 to 3 YrsBangalore","https://www.shine.com/jobs/network-l1-walkin-bangalore-04-feb-17-saturday/css-corp/6702414/","","","","Skills :","ARP,","bridging,","CCNA,","firewall certification,","FTP","Date:","04 Feb - 04 Feb","Venue:","Venue: Slash Support Pvt Ltd Unit -B(2) Ground Floor, Voyager Building, ITPB Bangalore SEZ Whitefield Road, Bangalore 560 066","Show Interest","Posted Date 28-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","SAP BI BW with HanaDeloitte Consulting India Private Limited2 to 7 YrsBangalore, Hyderabad Know your role in Deloitte About Deloitte Deloitte is the brand under which independent firms throughout the world collaborate to provide services in a particular geographic area. These firms are.","https://www.shine.com/jobs/sap-bi-bw-with-hana/deloitte-consulting-india-private-limited/6696185/","https://static2.shine.com/media1/images/employerbranding/47c29e25484d466195c0f389fc3ec418.jpg","","https://www.shine.com/job-search/simple/?rect=477090&utm_campaign=featuredcompany","Skills :","Data Modeling,","SAP BI,","SAP BW,","SAP HANA","","","","","","Apply","Posted Date 25-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","L3 Storage AdminTata Consultancy Services Ltd.7 to 9 YrsHyderabad Role: Storage Admin L3 Required Technical Skill Set: Strong in Storage Administration No of Requirements: 4 Desired Experience Range: 7-9 years Location of Requirement: Hyderabad Desired Competencies (Technical/Behavioral Competency): Must-Have.","https://www.shine.com/jobs/l3-storage-admin/tata-consultancy-services-ltd/6673065/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","EMC,","Netapp,","Netapps,","snap mirror,","Storage","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Development EngineerTata Consultancy Services Ltd.3 to 5 YrsHyderabad Role: CA Siteminder Engineer Required Technical Skill Set: CA Siteminder, SAML, OpenID, OAuth (SSO Technologies),Apache, IIS and Shell scripting,OS : Linux and Windows Desired Experience Range: 3-5 Years Location of.","https://www.shine.com/jobs/development-engineer/tata-consultancy-services-ltd/6672821/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","AJAX,","Angular JS,","Bootstrap,","Hibernate/JPA,","HTML5","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","SampleManager LIMSTata Consultancy Services Ltd.4 to 6 YrsHyderabad Role: SampleManager LIMS Developer Desired Experience Range 4-6 No of Requirements 2 Location: Hyderabad Desired Competencies (Technical/Behavioral Competency) Must-Have: SampleManager LIMS Experience Required: 4-6 years. Strong working functional knowledge of.","https://www.shine.com/jobs/samplemanager-lims/tata-consultancy-services-ltd/6673123/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","LIMS","","","","","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Tableau DeveloperTata Consultancy Services Ltd.4 to 6 YrsHyderabad Role: Tableau Developer Location: Hyderabad Desired Experience range: 4 to 6 years Technical Experience: Tableau Development Experience Required: 2 to 4 years Required skills: Associate should have good oral and.","https://www.shine.com/jobs/tableau-developer/tata-consultancy-services-ltd/6686541/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","Tableau","","","","","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Senior Node Js DeveloperTata Consultancy Services Ltd.6 to 8 YrsHyderabad Role: Senior Node Js Developer Required Technical Skill Set: Javascript, Node Js, Core Java, Postgres SQL or any SQL DB No. of Requirements: 1 Desired Experience Rang:e 6-8 years Location.","https://www.shine.com/jobs/senior-node-js-developer/tata-consultancy-services-ltd/6686649/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","Node js,","Node.js","","","","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","IBM BPM Senior DeveloperTata Consultancy Services Ltd.5 to 8 YrsHyderabad Role: IBM BPM Senior Developer Required Technical Skill Set: BPM Experience (IBM BPM 8.x) No of Requirements: 1 Desired Experience Range: 5+ years Location of Requirement: Hyderabad Desired Competencies (Technical/Behavioral.","https://www.shine.com/jobs/ibm-bpm-senior-developer/tata-consultancy-services-ltd/6686681/","https://static2.shine.com/media1/images/employerbranding/9af21014dbf546a99cbc481639d953da.jpg","","https://www.shine.com/tata-consultancy-services-ltd/?utm_campaign=HomepageCompanyLogos&utm_source=TCS","Skills :","BPM,","Business process management,","IBM BPM","","","","","","","Apply","Posted Date 23-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsPune CTS is looking for Developers/Sr. Developers : Location: Pune Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676260/","","","","Skills :","hibernate,","java,","REST,","Rest web services,","spring","","","","","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsPune CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Pune Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676334/","","","","Skills :",".Net,","ASP.Net MVC,","dot net,","dot-net,","dotnet","","","","","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsHyderabad CTS is looking for Developers/Sr. Developers for Java Location: Hyderabad Experience: 4 to 9 Years Responsibilities: Good understanding on data structures and algorithms. Responsible for completing specific, detailed steps of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676388/","","","","Skills :","Core Java,","Hibernate,","Java,","Rest Web services,","spring","","","","","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsKolkata CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Kolkatta Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676392/","","","","Skills :",".Net,","ASP.Net MVC,","dot net,","dot-net,","dotnet","","","","","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs","","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsMumbai / Navi Mumbai / Thane CTS is looking for Developers/Sr. Developers : Location: Mumbai Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676396/","","","","Skills :","algorithm,","data patterns,","design patterns,","hibernate,","java","","","","","Apply","Posted Date 20-Jan-2017"
