"url","Search link","Search link_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Skills values","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsGurgaon CTS is looking for Developers/Sr. Developers : Location: Gurgaon Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676398/","Gurgaon","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676398/","CTS is looking for Developers/Sr. Developers : Location: Gurgaon Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676398/","Skills :","algorithm,; data patterns,; design patterns,; hibernate,; java","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsChennai CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Chennai Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676404/","Chennai","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676404/","CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Chennai Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676404/","Skills :",".Net,; ASP.Net MVC,; dot net,; dot-net,; dotnet","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsKochi CTS is looking for Developers/Sr. Developers : Location: Kochi Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676406/","Kochi","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676406/","CTS is looking for Developers/Sr. Developers : Location: Kochi Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676406/","Skills :","algorithm,; data patterns,; design patterns,; hibernate,; java","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsBangalore CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Bengaluru Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676408/","Bangalore","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676408/","CTS is looking for .NET developers/Sr. Developers Experience: 4 to 9 Years Location : Bengaluru Responsibilites : Strong understanding of object-oriented programming Experience with popular web application frameworks Understanding of.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676408/","Skills :",".Net,; ASP.Net MVC,; dot net,; dot-net,; dotnet","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsKolkata CTS is looking for Developers/Sr. Developers : Location: Kolkatta Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676410/","Kolkata","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676410/","CTS is looking for Developers/Sr. Developers : Location: Kolkatta Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676410/","Skills :","algorithm,; data patterns,; design patterns,; hibernate,; java","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsChennai CTS is looking for Developers/Sr. Developers : Location: Chennai Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676412/","Chennai","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676412/","CTS is looking for Developers/Sr. Developers : Location: Chennai Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676412/","Skills :","hibernate,; java,; REST,; Rest web services,; spring","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Developer-Sr.DeveloperCognizant Technology Solutions India Pvt. Ltd.4 to 9 YrsBangalore CTS is looking for Developers/Sr. Developers : Location: Bengaluru Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676414/","Bangalore","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676414/","CTS is looking for Developers/Sr. Developers : Location: Bengaluru Experience: 4 to 9 Years Desired Candidate Profile Candidate profile: Should have efficiency in the following Skill Cluster 1: Java, Spring,.","https://www.shine.com/jobs/developer-srdeveloper/cognizant-technology-solutions-india-pvt-ltd/6676414/","Skills :","hibernate,; java,; REST,; Rest web services,; spring","Apply","Posted Date 20-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Oracle DBA with Golden GateTata Consultancy Services Ltd.8 to 10 YrsHyderabad Role: Database Administrator Required Technical Skill Set: Oracle DBA with Golden Gate (Mandatory) Desired Experience Range: 8-10 years Location of Requirement: Hyderabad Desired Competencies (Technical/Behavioral Competency) Must-Have: Configure new Golden.","https://www.shine.com/jobs/oracle-dba-with-golden-gate/tata-consultancy-services-ltd/6672985/","Hyderabad","https://www.shine.com/jobs/oracle-dba-with-golden-gate/tata-consultancy-services-ltd/6672985/","Role: Database Administrator Required Technical Skill Set: Oracle DBA with Golden Gate (Mandatory) Desired Experience Range: 8-10 years Location of Requirement: Hyderabad Desired Competencies (Technical/Behavioral Competency) Must-Have: Configure new Golden.","https://www.shine.com/jobs/oracle-dba-with-golden-gate/tata-consultancy-services-ltd/6672985/","Skills :","Golden gate,; Oracle Admin,; Oracle database admin,; Oracle database administrator,; Oracle DBA","Apply","Posted Date 19-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","Sybase DBATata Consultancy Services Ltd.3 to 7 YrsChennai Dear Candidate, We have a job opening for Sybase DBA position for TCS, Chennai. Role: Sybase DBA Experience: 3 to 7 Years Location: Chennai Job Description: Primary Skill : Sybase.","https://www.shine.com/jobs/sybase-dba/tata-consultancy-services-ltd/6670387/","Chennai","https://www.shine.com/jobs/sybase-dba/tata-consultancy-services-ltd/6670387/","Dear Candidate, We have a job opening for Sybase DBA position for TCS, Chennai. Role: Sybase DBA Experience: 3 to 7 Years Location: Chennai Job Description: Primary Skill : Sybase.","https://www.shine.com/jobs/sybase-dba/tata-consultancy-services-ltd/6670387/","Skills :","ASE,; Automated,; Change Management,; EMC,; Isilon","Apply","Posted Date 19-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-2","SAP Hybris ConsultantTata Consultancy Services Ltd.4 to 8 YrsHyderabad Must have 2+ years of experience with the implementation or integration of SAP Hybris 2+ years of eCommerce experience Minimum 2 years Hybris business process experience Eperience in ecommerce experience..","https://www.shine.com/jobs/sap-hybris-consultant/tata-consultancy-services-ltd/6663895/","Hyderabad","https://www.shine.com/jobs/sap-hybris-consultant/tata-consultancy-services-ltd/6663895/","Must have 2+ years of experience with the implementation or integration of SAP Hybris 2+ years of eCommerce experience Minimum 2 years Hybris business process experience Eperience in ecommerce experience..","https://www.shine.com/jobs/sap-hybris-consultant/tata-consultancy-services-ltd/6663895/","Skills :","Hybris consultantOR Hybris,; SAP Hybris","Apply","Posted Date 17-Jan-2017"
