"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Cmpname value","Cmpname value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Apply label"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP HANATata Consultancy Services Ltd.3 to 7 YrsMumbai / Navi Mumbai / Thane Excellent on SAP HANA Modelling with good analytical skills.","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","Hiring For SAP HANA","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","3 to 7 Yrs","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","Excellent on SAP HANA Modelling with good analytical skills.","https://www.shine.com/jobs/hiring-for-sap-hana/tata-consultancy-services-ltd/6492676/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","NAS Replication Expert/ ArchitectHuawei Technologies India Pvt. Ltd.5 to 10 YrsBangalore Job Description At least 6 years of experience in the storage domain. With experience of realizing storage replication or disaster recovery solution. Experience in the world-renowned storage enterprises or famous.","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","NAS Replication Expert/ Architect","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","Huawei Technologies India Pvt. Ltd.","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","5 to 10 Yrs","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","Bangalore","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","Job Description At least 6 years of experience in the storage domain. With experience of realizing storage replication or disaster recovery solution. Experience in the world-renowned storage enterprises or famous.","https://www.shine.com/jobs/nas-replication-expert-architect/huawei-technologies-india-pvt-ltd/6492788/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP MDGKumanan3 to 7 YrsMumbai / Navi Mumbai / Thane Experience in design, implementation, manage master data governance object and must have minimum 2 end to end implementation.","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","Hiring For SAP MDG","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","Kumanan","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","3 to 7 Yrs","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","Experience in design, implementation, manage master data governance object and must have minimum 2 end to end implementation.","https://www.shine.com/jobs/hiring-for-sap-mdg/kumanan/6492792/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP PSTata Consultancy Services Ltd.4 to 8 YrsMumbai / Navi Mumbai / Thane ""Well Versed in entire SAP PS cycle, Should have strong SAP PS configuration knowledge.","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","Hiring For SAP PS","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","4 to 8 Yrs","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","""Well Versed in entire SAP PS cycle, Should have strong SAP PS configuration knowledge.","https://www.shine.com/jobs/hiring-for-sap-ps/tata-consultancy-services-ltd/6492760/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP PI/XITata Consultancy Services Ltd.3 to 7 YrsMumbai / Navi Mumbai / Thane Good experience with SAP PI 7.3 and above integration, monitoring, implementation and support. "".","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","Hiring For SAP PI/XI","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","3 to 7 Yrs","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","Good experience with SAP PI 7.3 and above integration, monitoring, implementation and support. "".","https://www.shine.com/jobs/hiring-for-sap-pixi/tata-consultancy-services-ltd/6492734/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP PMTata Consultancy Services Ltd.3 to 7 YrsMumbai / Navi Mumbai / Thane ""SAP PM &CS knowledge, SAP PM and CS Module integration with other module like SD, MM, HCM "".","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","Hiring For SAP PM","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","3 to 7 Yrs","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","""SAP PM &CS knowledge, SAP PM and CS Module integration with other module like SD, MM, HCM "".","https://www.shine.com/jobs/hiring-for-sap-pm/tata-consultancy-services-ltd/6492744/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","SAP Success FactorsTata Consultancy Services Ltd.2 to 6 YrsMumbai / Navi Mumbai / Thane Excellent knowledge on SAP-SuccessFactors Good knowledge of HCM Concepts and HCMS Functional with implementation experience.","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","SAP Success Factors","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","2 to 6 Yrs","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","Excellent knowledge on SAP-SuccessFactors Good knowledge of HCM Concepts and HCMS Functional with implementation experience.","https://www.shine.com/jobs/sap-success-factors/tata-consultancy-services-ltd/6492724/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP GRCTata Consultancy Services Ltd.3 to 7 YrsMumbai / Navi Mumbai / Thane Consults on SAP GRC Access Control and Process Control (version 10.x experience preferred) implementations, optimizations, and assessments.","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","Hiring For SAP GRC","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","3 to 7 Yrs","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","Consults on SAP GRC Access Control and Process Control (version 10.x experience preferred) implementations, optimizations, and assessments.","https://www.shine.com/jobs/hiring-for-sap-grc/tata-consultancy-services-ltd/6492716/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","SAP CRM FunctionalTata Consultancy Services Ltd.3 to 7 YrsMumbai / Navi Mumbai / Thane Excellent on SAP CRM Functional module sales & marketing, Order management, Contract accounting with Implemation experience.","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","SAP CRM Functional","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","3 to 7 Yrs","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","Excellent on SAP CRM Functional module sales & marketing, Order management, Contract accounting with Implemation experience.","https://www.shine.com/jobs/sap-crm-functional/tata-consultancy-services-ltd/6492696/","Skills :","Apply"
"https://www.shine.com/job-search/it-software-industry-jobs-9","Hiring For SAP C4CTata Consultancy Services Ltd.3 to 8 YrsMumbai / Navi Mumbai / Thane Hands on Experience in SAP C4C with atleast one E2E implemetation.","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","Hiring For SAP C4C","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","3 to 8 Yrs","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","Mumbai / Navi Mumbai / Thane","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","Hands on Experience in SAP C4C with atleast one E2E implemetation.","https://www.shine.com/jobs/hiring-for-sap-c4c/tata-consultancy-services-ltd/6492656/","Skills :","Apply"
